카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A956A3,516230.0,60.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AO9571,1010100.0,60.0,
핸디/스틱청소기,샤오미,드리미 V10,161500.0,60.0,220.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AS9370IKT,786820.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957E3,710210.0,60.0,
핸디/스틱청소기,다이슨,V10 플러피 오리진,569730.0,60.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9370,652980.0,60.0,
핸디/스틱청소기,다이슨,V12 디텍트 슬림 컴플리트,910800.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957D3,662950.0,60.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AT9200BA,673370.0,60.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AS9371IKT,776300.0,60.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AT9471WC,1025280.0,60.0,
핸디/스틱청소기,DIBEA,차이슨 ALLNEW22000 (2022년형),178000.0,40.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A956A3 + 물걸레,644810.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957D2,688180.0,60.0,
핸디/스틱청소기,삼성전자,제트 VS20T9218QDCC,463190.0,60.0,
핸디/스틱청소기,다이슨,V12 디텍트 슬림 앱솔루트 엑스트라,931670.0,60.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AS9470,842740.0,60.0,
핸디/스틱청소기,일렉트로룩스,WELL Q6 WQ61-1OGG,140770.0,45.0,
핸디/스틱청소기,샤오미,TROUVER POWER 11,91750.0,60.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AT9201WB,759980.0,60.0,
핸디/스틱청소기,다이슨,디지털 슬림 플러피+,649000.0,40.0,
핸디/스틱청소기,LG전자,코드제로 A9 A9100N,508030.0,50.0,
핸디/스틱청소기,일렉트로룩스,ZB3302AK,139780.0,42.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AT9571IB,1269420.0,60.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AS9471,873870.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A956AVW,514340.0,60.0,
핸디/스틱청소기,삼성전자,제트 VS15R8577Q5CW,476380.0,60.0,
핸디/스틱청소기,DIBEA,차이슨 ALLNEW29000,248000.0,48.0,
핸디/스틱청소기,다이슨,V15 디텍트 컴플리트,1160830.0,60.0,
핸디/스틱청소기,다이슨,디지털 슬림 플러피 엑스트라,719030.0,40.0,
핸디/스틱청소기,무궁화전자,바로바로 MC-B250,40340.0,20.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 클래식 ZB3501EB,127280.0,30.0,
핸디/스틱청소기,삼성전자,제트 VS15R8543Q4CW,441800.0,40.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AT9370BA,910160.0,60.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3OBF,303500.0,53.0,
핸디/스틱청소기,삼성전자,파워스틱 VS02R6512JG,183150.0,,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957D3P,691122.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B956D5,886060.0,60.0,
핸디/스틱청소기,보랄,BDC-E998RV,590000.0,38.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B956AX,919000.0,60.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AO9471WKT,985390.0,60.0,
핸디/스틱청소기,삼성전자,제트 VS20T9210BFT,438830.0,60.0,
핸디/스틱청소기,샤오미,드리미 V12,345440.0,90.0,270.0
핸디/스틱청소기,DIBEA,M24 MAX,168400.0,50.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A956A3P,530630.0,60.0,
핸디/스틱청소기,신일전자,SVC-SHS500,37520.0,9.0,
핸디/스틱청소기,삼성전자,에어본 VC-H71,59600.0,12.0,
핸디/스틱청소기,다이슨,V11 컴플리트,978990.0,60.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3BWF,369030.0,53.0,
핸디/스틱청소기,오토모,ATM-H100,30580.0,,
핸디/스틱청소기,블랙파인,JYW-BP01,503200.0,30.0,
핸디/스틱청소기,다이슨,V15 디텍트 앱솔루트 엑스트라,1288780.0,60.0,
핸디/스틱청소기,베커,BK8850S,1300000.0,32.0,
핸디/스틱청소기,삼성전자,제트 VS20T9278S7CS,651200.0,60.0,
핸디/스틱청소기,블랙앤데커,PV1820BK,80740.0,12.0,
핸디/스틱청소기,캐치웰,THC-1000,39900.0,28.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3311,161560.0,48.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B957D5,1232000.0,60.0,
핸디/스틱청소기,델로라,V11 파워 300W,104890.0,70.0,
핸디/스틱청소기,LG전자,코드제로 A9 A9100S,526000.0,40.0,
핸디/스틱청소기,삼성전자,에어본 VC-PS86,87280.0,15.0,
핸디/스틱청소기,삼성전자,제트 VS20T9210BF,448300.0,60.0,
핸디/스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDB,146840.0,45.0,
핸디/스틱청소기,삼성전자,비스포크 슬림 VS15A680DFW,420170.0,50.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AS9201WB,646930.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B957E5,1448950.0,60.0,
핸디/스틱청소기,삼성전자,에어본 화이트 VC-H22,39000.0,10.0,
핸디/스틱청소기,발뮤다,더 클리너 C01B,384000.0,30.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AT9201WC,820250.0,60.0,
핸디/스틱청소기,샤오미,드리미 V9,124070.0,60.0,200.0
핸디/스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1410UG,311310.0,,230.0
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957E3P,741330.0,60.0,
핸디/스틱청소기,샤오미,G10,236080.0,65.0,250.0
핸디/스틱청소기,다이슨,옴니 글라이드 컴플리트,494000.0,20.0,
핸디/스틱청소기,블랙앤데커,HLVC320B,69800.0,13.0,
핸디/스틱청소기,일렉트로룩스,WELL Q8 WQ81-3PSGF,209990.0,53.0,
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIB,181700.0,50.0,
핸디/스틱청소기,다이슨,디지털 슬림 플러피 오리진,654990.0,40.0,
핸디/스틱청소기,삼성전자,제트 VS20R9078S2,555390.0,60.0,
핸디/스틱청소기,삼성전자,제트 VS15R8500BF,386290.0,40.0,
핸디/스틱청소기,일렉트로룩스,Well Q8 WQ81-3OMBF,253510.0,53.0,
핸디/스틱청소기,테팔,엑스퍼트 3.60 TY6974,212500.0,45.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3512IG,145080.0,35.0,
핸디/스틱청소기,DIBEA,D18,85930.0,45.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9300,747120.0,60.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-3BW,235910.0,55.0,
핸디/스틱청소기,신일전자,SVC-8858PNX,159000.0,30.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-2OG,193240.0,50.0,
핸디/스틱청소기,샤오미,드리미 V11,275080.0,90.0,250.0
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AT9270IA,788880.0,60.0,
핸디/스틱청소기,샤오미,TROUVER POWER 12,175620.0,60.0,220.0
핸디/스틱청소기,클래파,H13,105000.0,30.0,
핸디/스틱청소기,샤크,에보 파워 플러스 WV250KR2,155200.0,12.0,
핸디/스틱청소기,삼성전자,제트 VS20T9278S3,617160.0,60.0,
핸디/스틱청소기,아이룸,KHAN A15,168000.0,50.0,
핸디/스틱청소기,삼성전자,제트 VS20T9258SDCC,577810.0,60.0,
핸디/스틱청소기,오토모,에어맥스 Amax-1000,627280.0,,
핸디/스틱청소기,보쉬,GAS18V-1,66420.0,42.0,
핸디/스틱청소기,삼성전자,비스포크 슬림 VS15A680AEG,344420.0,50.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AS9401WC,860680.0,60.0,
핸디/스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91813,425320.0,60.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-2OGF,271900.0,50.0,
핸디/스틱청소기,일렉트로룩스,Well Q6 Pet WQ61-1PSH,187260.0,45.0,
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2BSWF,270860.0,50.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3511DB,148980.0,35.0,
핸디/스틱청소기,기펠,ZET-10,169000.0,,
핸디/스틱청소기,한경희생활과학,VH-400WT,51010.0,20.0,
핸디/스틱청소기,일렉트로룩스,ZB6210EB,84160.0,23.0,
핸디/스틱청소기,DIBEA,차이슨 ALLNEW22000,178000.0,40.0,
핸디/스틱청소기,캐치웰,C10,140360.0,30.0,
핸디/스틱청소기,LG전자,코드제로 A9 AS9100ST,721600.0,50.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 베드프로 ZB3323BO,187340.0,48.0,
핸디/스틱청소기,샤오미,유핀 CL99,33500.0,50.0,
핸디/스틱청소기,신일전자,더쎈 SVC-ECO150,142300.0,20.0,
핸디/스틱청소기,신일전자,LCYC913,30600.0,20.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S 펫 A9700BPK,897160.0,60.0,
핸디/스틱청소기,신일전자,SVC-680G,31850.0,15.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3424BL,196950.0,48.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AS9570,957220.0,60.0,
핸디/스틱청소기,툴앤툴,네오스틱 T400W,119000.0,40.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-3OB,239000.0,55.0,
핸디/스틱청소기,신일전자,SVC-R220UB,66270.0,20.0,
핸디/스틱청소기,삼성전자,비스포크 슬림 VS15A680AEW,299000.0,50.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AT9401WC,1057750.0,60.0,
핸디/스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3EMF,274940.0,53.0,
핸디/스틱청소기,캐치웰,VX11,159000.0,,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B957D4,998230.0,60.0,
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIBF,215040.0,50.0,
핸디/스틱청소기,일렉트로룩스,Well Q7 Pet WQ71-2PSSF,238000.0,50.0,
핸디/스틱청소기,다이슨,V8 플러피,617580.0,40.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AT9401IB,998950.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957G3P,1450690.0,60.0,
핸디/스틱청소기,일렉트로룩스,WELL Q7 WQ71-2ESSF,191880.0,50.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AT9201WBK,760050.0,60.0,
핸디/스틱청소기,아이닉,NEW i20,198000.0,50.0,
핸디/스틱청소기,리빙코리아,웰스톰 VC150,132610.0,35.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S A9700,1039510.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B957E4,1129310.0,60.0,
